	sp_id	hh_size	latitude	longitude	location	mo_name
826502	328038	2	55.187673619	61.289446396	POINT (61.289446396 55.187673619)	Kurchatovskiy rayon
871841	346056	3	55.190250851	61.299345935	POINT (61.299345935 55.190250851)	Kurchatovskiy rayon
949507	376906	3	55.19573943	61.301316875	POINT (61.301316875 55.19573943)	Kurchatovskiy rayon
964573	382896	7	55.196790681	61.309329875	POINT (61.309329875 55.196790681)	Kurchatovskiy rayon
1034640	410781	4	55.214768879	61.301527506	POINT (61.301527506 55.214768879)	Kurchatovskiy rayon
1045504	415110	5	55.219526372	61.296335352	POINT (61.296335352 55.219526372)	Kurchatovskiy rayon
1007771	400080	6	55.208133623	61.278804403	POINT (61.278804403 55.208133623)	Kurchatovskiy rayon
946124	375563	4	55.195555398	61.346306614	POINT (61.346306614 55.195555398)	Kurchatovskiy rayon
935895	371502	3	55.19499362	61.305260834	POINT (61.305260834 55.19499362)	Kurchatovskiy rayon
1036382	411473	5	55.215543331	61.298503898	POINT (61.298503898 55.215543331)	Kurchatovskiy rayon
1027396	407890	2	55.212144548	61.295176755	POINT (61.295176755 55.212144548)	Kurchatovskiy rayon
801655	318170	6	55.185889703	61.293050914	POINT (61.293050914 55.185889703)	Kurchatovskiy rayon
980669	389297	7	55.198351982	61.324644679	POINT (61.324644679 55.198351982)	Kurchatovskiy rayon
838797	332928	5	55.18832525	61.36988695	POINT (61.36988695 55.18832525)	Kurchatovskiy rayon
927794	368270	4	55.194074151	61.329487327	POINT (61.329487327 55.194074151)	Kurchatovskiy rayon
918325	364495	4	55.193404153	61.324233443	POINT (61.324233443 55.193404153)	Kurchatovskiy rayon
907741	360292	4	55.192771802	61.324431678	POINT (61.324431678 55.192771802)	Kurchatovskiy rayon
906850	359938	3	55.192616454	61.314757037	POINT (61.314757037 55.192616454)	Kurchatovskiy rayon
871426	345893	8	55.190233862	61.312163058	POINT (61.312163058 55.190233862)	Kurchatovskiy rayon
1054312	418542	1	55.234853601	61.355184018	POINT (61.355184018 55.234853601)	Kurchatovskiy rayon
1049554	416715	3	55.23178245	61.28433225	POINT (61.28433225 55.23178245)	Kurchatovskiy rayon
931872	369891	2	55.194510092	61.357214993	POINT (61.357214993 55.194510092)	Kurchatovskiy rayon
944035	374735	4	55.19526806	61.355850391	POINT (61.355850391 55.19526806)	Kurchatovskiy rayon
957763	380192	1	55.19630084	61.334253354	POINT (61.334253354 55.19630084)	Kurchatovskiy rayon
1008180	400245	5	55.208206813	61.306457126	POINT (61.306457126 55.208206813)	Kurchatovskiy rayon
869478	345122	3	55.190140602	61.348840911	POINT (61.348840911 55.190140602)	Kurchatovskiy rayon
992330	393939	2	55.2021329	61.2848571	POINT (61.2848571 55.2021329)	Kurchatovskiy rayon
941754	373831	3	55.19513635	61.3387367	POINT (61.3387367 55.19513635)	Kurchatovskiy rayon
995670	395269	5	55.203713672	61.291748652	POINT (61.291748652 55.203713672)	Kurchatovskiy rayon
910703	361471	5	55.192974899	61.337819158	POINT (61.337819158 55.192974899)	Kurchatovskiy rayon
928785	368664	5	55.194138027	61.351224114	POINT (61.351224114 55.194138027)	Kurchatovskiy rayon
954530	378904	5	55.196194877	61.305329569	POINT (61.305329569 55.196194877)	Kurchatovskiy rayon
875139	347368	1	55.19040353	61.377529227	POINT (61.377529227 55.19040353)	Kurchatovskiy rayon
879829	349236	4	55.190615107	61.353406425	POINT (61.353406425 55.190615107)	Kurchatovskiy rayon
826615	328077	5	55.187673619	61.289446396	POINT (61.289446396 55.187673619)	Kurchatovskiy rayon
848186	336655	4	55.188979642	61.392070241	POINT (61.392070241 55.188979642)	Kurchatovskiy rayon
1035263	411030	4	55.21499052	61.303539753	POINT (61.303539753 55.21499052)	Kurchatovskiy rayon
1002466	397965	5	55.2070668	61.30428685	POINT (61.30428685 55.2070668)	Kurchatovskiy rayon
1007049	399791	5	55.2079879	61.27195759	POINT (61.27195759 55.2079879)	Kurchatovskiy rayon
1007617	400020	3	55.208133623	61.278804403	POINT (61.278804403 55.208133623)	Kurchatovskiy rayon
934463	370927	4	55.194963286	61.308427187	POINT (61.308427187 55.194963286)	Kurchatovskiy rayon
980982	389420	5	55.198362801	61.330250601	POINT (61.330250601 55.198362801)	Kurchatovskiy rayon
1002354	397923	7	55.2070668	61.30428685	POINT (61.30428685 55.2070668)	Kurchatovskiy rayon
979017	388640	4	55.198175871	61.338391532	POINT (61.338391532 55.198175871)	Kurchatovskiy rayon
1007918	400138	4	55.208206813	61.306457126	POINT (61.306457126 55.208206813)	Kurchatovskiy rayon
817157	324325	5	55.187028537	61.296706017	POINT (61.296706017 55.187028537)	Kurchatovskiy rayon
938505	372534	3	55.19502783	61.328381231	POINT (61.328381231 55.19502783)	Kurchatovskiy rayon
1045669	415177	3	55.219550792	61.293198111	POINT (61.293198111 55.219550792)	Kurchatovskiy rayon
923675	366619	3	55.193998112	61.34825505	POINT (61.34825505 55.193998112)	Kurchatovskiy rayon
988131	392260	4	55.200159161	61.321461513	POINT (61.321461513 55.200159161)	Kurchatovskiy rayon
793521	314936	3	55.185389856	61.280533333	POINT (61.280533333 55.185389856)	Kurchatovskiy rayon
892080	354090	3	55.191398406	61.381193941	POINT (61.381193941 55.191398406)	Kurchatovskiy rayon
844919	335357	2	55.188604386	61.276747201	POINT (61.276747201 55.188604386)	Kurchatovskiy rayon
1004838	398921	3	55.207775497	61.29194825	POINT (61.29194825 55.207775497)	Kurchatovskiy rayon
1014198	402640	2	55.208768617	61.279571557	POINT (61.279571557 55.208768617)	Kurchatovskiy rayon
927024	367960	4	55.194072604	61.344925811	POINT (61.344925811 55.194072604)	Kurchatovskiy rayon
1011897	401729	2	55.208558437	61.269715068	POINT (61.269715068 55.208558437)	Kurchatovskiy rayon
1036227	411412	5	55.215480457	61.301094862	POINT (61.301094862 55.215480457)	Kurchatovskiy rayon
912126	362041	6	55.193019308	61.351732403	POINT (61.351732403 55.193019308)	Kurchatovskiy rayon
1024912	406908	3	55.211732471	61.278293616	POINT (61.278293616 55.211732471)	Kurchatovskiy rayon
792367	314484	5	55.185370703	61.389321058	POINT (61.389321058 55.185370703)	Kurchatovskiy rayon
1025205	407024	5	55.211732471	61.278293616	POINT (61.278293616 55.211732471)	Kurchatovskiy rayon
997200	395875	2	55.20425185	61.28982525	POINT (61.28982525 55.20425185)	Kurchatovskiy rayon
844063	335022	4	55.188585953	61.273930613	POINT (61.273930613 55.188585953)	Kurchatovskiy rayon
929337	368886	4	55.194173104	61.361071156	POINT (61.361071156 55.194173104)	Kurchatovskiy rayon
1043165	414175	5	55.218342172	61.2985122	POINT (61.2985122 55.218342172)	Kurchatovskiy rayon
958850	380625	2	55.196324106	61.335117611	POINT (61.335117611 55.196324106)	Kurchatovskiy rayon
912495	362185	4	55.193048455	61.341149899	POINT (61.341149899 55.193048455)	Kurchatovskiy rayon
929635	369000	3	55.194304678	61.281171279	POINT (61.281171279 55.194304678)	Kurchatovskiy rayon
1021180	405422	7	55.210097425	61.272419969	POINT (61.272419969 55.210097425)	Kurchatovskiy rayon
876044	347732	1	55.190446913	61.322231083	POINT (61.322231083 55.190446913)	Kurchatovskiy rayon
912639	362240	5	55.193048455	61.341149899	POINT (61.341149899 55.193048455)	Kurchatovskiy rayon
848404	336746	3	55.188987012	61.385410627	POINT (61.385410627 55.188987012)	Kurchatovskiy rayon
871100	345763	4	55.190221943	61.328379177	POINT (61.328379177 55.190221943)	Kurchatovskiy rayon
930947	369531	5	55.194307868	61.35874064	POINT (61.35874064 55.194307868)	Kurchatovskiy rayon
868632	344790	4	55.190112606	61.36687827	POINT (61.36687827 55.190112606)	Kurchatovskiy rayon
1014123	402607	5	55.208755582	61.281569467	POINT (61.281569467 55.208755582)	Kurchatovskiy rayon
1046903	415665	7	55.221072115	61.295067922	POINT (61.295067922 55.221072115)	Kurchatovskiy rayon
951790	377811	3	55.196052949	61.333277034	POINT (61.333277034 55.196052949)	Kurchatovskiy rayon
853568	338795	4	55.189308421	61.300877212	POINT (61.300877212 55.189308421)	Kurchatovskiy rayon
882175	350169	1	55.190725894	61.308047177	POINT (61.308047177 55.190725894)	Kurchatovskiy rayon
1010306	401094	4	55.208369176	61.291675098	POINT (61.291675098 55.208369176)	Kurchatovskiy rayon
1079336	428385	4	55.240362222	61.300534831	POINT (61.300534831 55.240362222)	Kurchatovskiy rayon
939400	372884	5	55.195042669	61.314033374	POINT (61.314033374 55.195042669)	Kurchatovskiy rayon
969524	384866	5	55.19724303	61.357757833	POINT (61.357757833 55.19724303)	Kurchatovskiy rayon
811151	321946	3	55.186518424	61.386106897	POINT (61.386106897 55.186518424)	Kurchatovskiy rayon
973305	386366	2	55.197652142	61.350353602	POINT (61.350353602 55.197652142)	Kurchatovskiy rayon
870210	345407	4	55.190196869	61.29008897	POINT (61.29008897 55.190196869)	Kurchatovskiy rayon
815606	323709	5	55.186920984	61.393147291	POINT (61.393147291 55.186920984)	Kurchatovskiy rayon
1021644	405606	2	55.210189375	61.270381888	POINT (61.270381888 55.210189375)	Kurchatovskiy rayon
1059158	420441	2	55.235802175	61.306100198	POINT (61.306100198 55.235802175)	Kurchatovskiy rayon
938051	372351	5	55.1950226	61.3344978	POINT (61.3344978 55.1950226)	Kurchatovskiy rayon
875979	347703	1	55.190446913	61.322231083	POINT (61.322231083 55.190446913)	Kurchatovskiy rayon
891212	353747	2	55.191363988	61.294214454	POINT (61.294214454 55.191363988)	Kurchatovskiy rayon
1016699	403635	3	55.209247743	61.287523725	POINT (61.287523725 55.209247743)	Kurchatovskiy rayon
796960	316311	4	55.185643341	61.37738323	POINT (61.37738323 55.185643341)	Kurchatovskiy rayon
799274	317225	7	55.18580005	61.39116355	POINT (61.39116355 55.18580005)	Kurchatovskiy rayon
867277	344251	1	55.190050943	61.309343177	POINT (61.309343177 55.190050943)	Kurchatovskiy rayon
859189	341034	5	55.189558238	61.351657445	POINT (61.351657445 55.189558238)	Kurchatovskiy rayon
960803	381400	3	55.196468183	61.317252023	POINT (61.317252023 55.196468183)	Kurchatovskiy rayon
1073729	426171	4	55.238847799	61.310258127	POINT (61.310258127 55.238847799)	Kurchatovskiy rayon
965645	383322	3	55.19684205	61.3660122	POINT (61.3660122 55.19684205)	Kurchatovskiy rayon
908844	360731	7	55.192909247	61.354097921	POINT (61.354097921 55.192909247)	Kurchatovskiy rayon
880121	349348	2	55.190625821	61.282767535	POINT (61.282767535 55.190625821)	Kurchatovskiy rayon
995218	395093	2	55.203484038	61.286394181	POINT (61.286394181 55.203484038)	Kurchatovskiy rayon
921090	365597	4	55.193646942	61.285065687	POINT (61.285065687 55.193646942)	Kurchatovskiy rayon
1040106	412951	5	55.217189558	61.283851107	POINT (61.283851107 55.217189558)	Kurchatovskiy rayon
913643	362639	3	55.19312333	61.316648022	POINT (61.316648022 55.19312333)	Kurchatovskiy rayon
931093	369585	3	55.194332245	61.283386573	POINT (61.283386573 55.194332245)	Kurchatovskiy rayon
858248	340658	2	55.189530373	61.323342669	POINT (61.323342669 55.189530373)	Kurchatovskiy rayon
1040214	412995	6	55.217189558	61.283851107	POINT (61.283851107 55.217189558)	Kurchatovskiy rayon
874943	347287	3	55.190401449	61.336162687	POINT (61.336162687 55.190401449)	Kurchatovskiy rayon
1020265	405056	6	55.2098446	61.27811895	POINT (61.27811895 55.2098446)	Kurchatovskiy rayon
922430	366132	3	55.193817523	61.336270568	POINT (61.336270568 55.193817523)	Kurchatovskiy rayon
1057802	419912	4	55.235447287	61.286670115	POINT (61.286670115 55.235447287)	Kurchatovskiy rayon
855679	339635	6	55.18940004	61.271119495	POINT (61.271119495 55.18940004)	Kurchatovskiy rayon
933412	370497	4	55.194851809	61.284694967	POINT (61.284694967 55.194851809)	Kurchatovskiy rayon
920761	365468	5	55.193646942	61.285065687	POINT (61.285065687 55.193646942)	Kurchatovskiy rayon
1032385	409885	3	55.213864998	61.302200216	POINT (61.302200216 55.213864998)	Kurchatovskiy rayon
842748	334499	3	55.188508942	61.294574968	POINT (61.294574968 55.188508942)	Kurchatovskiy rayon
862477	342338	2	55.189726893	61.386094644	POINT (61.386094644 55.189726893)	Kurchatovskiy rayon
991708	393689	5	55.201689632	61.317476395	POINT (61.317476395 55.201689632)	Kurchatovskiy rayon
871193	345797	6	55.190221943	61.328379177	POINT (61.328379177 55.190221943)	Kurchatovskiy rayon
838181	332683	5	55.188278539	61.287507419	POINT (61.287507419 55.188278539)	Kurchatovskiy rayon
977883	388189	4	55.198123843	61.310702562	POINT (61.310702562 55.198123843)	Kurchatovskiy rayon
802241	318407	5	55.185920459	61.296901827	POINT (61.296901827 55.185920459)	Kurchatovskiy rayon
905603	359442	5	55.192544845	61.304264831	POINT (61.304264831 55.192544845)	Kurchatovskiy rayon
862430	342319	2	55.189726893	61.386094644	POINT (61.386094644 55.189726893)	Kurchatovskiy rayon
895010	355250	3	55.191583252	61.288700187	POINT (61.288700187 55.191583252)	Kurchatovskiy rayon
981959	389807	5	55.198499375	61.329165432	POINT (61.329165432 55.198499375)	Kurchatovskiy rayon
858384	340716	2	55.189544686	61.34385285	POINT (61.34385285 55.189544686)	Kurchatovskiy rayon
960680	381349	5	55.196468183	61.317252023	POINT (61.317252023 55.196468183)	Kurchatovskiy rayon
935257	371238	6	55.194963286	61.308427187	POINT (61.308427187 55.194963286)	Kurchatovskiy rayon
1028215	408219	3	55.212323095	61.285863678	POINT (61.285863678 55.212323095)	Kurchatovskiy rayon
905964	359590	3	55.192548277	61.291112977	POINT (61.291112977 55.192548277)	Kurchatovskiy rayon
1060323	420896	2	55.23597076	61.305160654	POINT (61.305160654 55.23597076)	Kurchatovskiy rayon
1037279	411830	4	55.21611495	61.30090905	POINT (61.30090905 55.21611495)	Kurchatovskiy rayon
924342	366891	7	55.194005595	61.308554124	POINT (61.308554124 55.194005595)	Kurchatovskiy rayon
988536	392422	4	55.20021465	61.3423739	POINT (61.3423739 55.20021465)	Kurchatovskiy rayon
909147	360850	6	55.192952577	61.332012903	POINT (61.332012903 55.192952577)	Kurchatovskiy rayon
848434	336757	7	55.188987012	61.385410627	POINT (61.385410627 55.188987012)	Kurchatovskiy rayon
1019031	404567	2	55.209447502	61.273386396	POINT (61.273386396 55.209447502)	Kurchatovskiy rayon
994314	394730	5	55.2029777	61.28578065	POINT (61.28578065 55.2029777)	Kurchatovskiy rayon
1055437	418991	6	55.234987183	61.302187398	POINT (61.302187398 55.234987183)	Kurchatovskiy rayon
899293	356935	2	55.192093329	61.279079569	POINT (61.279079569 55.192093329)	Kurchatovskiy rayon
856487	339961	3	55.189469645	61.367153847	POINT (61.367153847 55.189469645)	Kurchatovskiy rayon
1037187	411792	3	55.215982452	61.302138488	POINT (61.302138488 55.215982452)	Kurchatovskiy rayon
922623	366205	3	55.193914576	61.354010503	POINT (61.354010503 55.193914576)	Kurchatovskiy rayon
1041558	413540	3	55.217521595	61.296384157	POINT (61.296384157 55.217521595)	Kurchatovskiy rayon
869357	345074	5	55.190124866	61.338197848	POINT (61.338197848 55.190124866)	Kurchatovskiy rayon
1041913	413676	2	55.217898975	61.282276095	POINT (61.282276095 55.217898975)	Kurchatovskiy rayon
893176	354518	1	55.191511041	61.276096312	POINT (61.276096312 55.191511041)	Kurchatovskiy rayon
1013313	402288	1	55.208677651	61.297077862	POINT (61.297077862 55.208677651)	Kurchatovskiy rayon
868643	344795	1	55.190112606	61.36687827	POINT (61.36687827 55.190112606)	Kurchatovskiy rayon
897317	356152	2	55.191835477	61.291989898	POINT (61.291989898 55.191835477)	Kurchatovskiy rayon
1035051	410942	7	55.21499052	61.303539753	POINT (61.303539753 55.21499052)	Kurchatovskiy rayon
667263	264731	2	55.178804404	61.274262721	POINT (61.274262721 55.178804404)	Kurchatovskiy rayon
954552	378911	3	55.196194877	61.305329569	POINT (61.305329569 55.196194877)	Kurchatovskiy rayon
847962	336564	5	55.188975939	61.282279591	POINT (61.282279591 55.188975939)	Kurchatovskiy rayon
988789	392532	3	55.200252235	61.326854836	POINT (61.326854836 55.200252235)	Kurchatovskiy rayon
837637	332466	5	55.188274373	61.3781341	POINT (61.3781341 55.188274373)	Kurchatovskiy rayon
1027602	407978	2	55.212262042	61.296818626	POINT (61.296818626 55.212262042)	Kurchatovskiy rayon
889612	353110	2	55.191257476	61.3165642	POINT (61.3165642 55.191257476)	Kurchatovskiy rayon
975561	387267	5	55.197977624	61.361659459	POINT (61.361659459 55.197977624)	Kurchatovskiy rayon
990949	393391	4	55.201173501	61.317901813	POINT (61.317901813 55.201173501)	Kurchatovskiy rayon
960030	381095	3	55.196372228	61.346377092	POINT (61.346377092 55.196372228)	Kurchatovskiy rayon
1025576	407169	3	55.211745155	61.285117093	POINT (61.285117093 55.211745155)	Kurchatovskiy rayon
951747	377796	4	55.196052949	61.333277034	POINT (61.333277034 55.196052949)	Kurchatovskiy rayon
914952	363158	3	55.193217517	61.32547733	POINT (61.32547733 55.193217517)	Kurchatovskiy rayon
908185	360468	3	55.192854868	61.342766176	POINT (61.342766176 55.192854868)	Kurchatovskiy rayon
905717	359486	2	55.192544845	61.304264831	POINT (61.304264831 55.192544845)	Kurchatovskiy rayon
902261	358109	4	55.192474918	61.292760266	POINT (61.292760266 55.192474918)	Kurchatovskiy rayon
983170	390287	6	55.198940983	61.337322089	POINT (61.337322089 55.198940983)	Kurchatovskiy rayon
959781	380993	5	55.196370662	61.352974048	POINT (61.352974048 55.196370662)	Kurchatovskiy rayon
960431	381254	2	55.196468183	61.317252023	POINT (61.317252023 55.196468183)	Kurchatovskiy rayon
912271	362097	1	55.19302564	61.311677158	POINT (61.311677158 55.19302564)	Kurchatovskiy rayon
1044329	414641	1	55.218973411	61.285582581	POINT (61.285582581 55.218973411)	Kurchatovskiy rayon
1016360	403495	6	55.209165863	61.28937313	POINT (61.28937313 55.209165863)	Kurchatovskiy rayon
1041925	413686	2	55.217898975	61.282276095	POINT (61.282276095 55.217898975)	Kurchatovskiy rayon
982298	389938	5	55.198751303	61.330833798	POINT (61.330833798 55.198751303)	Kurchatovskiy rayon
1035456	411097	2	55.215127125	61.293911883	POINT (61.293911883 55.215127125)	Kurchatovskiy rayon
1001795	397705	3	55.2062802	61.30560335	POINT (61.30560335 55.2062802)	Kurchatovskiy rayon
994427	394772	3	55.2029777	61.28578065	POINT (61.28578065 55.2029777)	Kurchatovskiy rayon
1028276	408243	3	55.212323095	61.285863678	POINT (61.285863678 55.212323095)	Kurchatovskiy rayon
934627	370990	1	55.194963286	61.308427187	POINT (61.308427187 55.194963286)	Kurchatovskiy rayon
1013605	402405	5	55.2087292	61.2958238	POINT (61.2958238 55.2087292)	Kurchatovskiy rayon
1041613	413559	4	55.217521595	61.296384157	POINT (61.296384157 55.217521595)	Kurchatovskiy rayon
947965	376293	4	55.19564855	61.33846315	POINT (61.33846315 55.19564855)	Kurchatovskiy rayon
813520	322890	1	55.186665637	61.282095248	POINT (61.282095248 55.186665637)	Kurchatovskiy rayon
1018685	404428	5	55.209424809	61.269998155	POINT (61.269998155 55.209424809)	Kurchatovskiy rayon
893844	354787	5	55.1915547	61.284553872	POINT (61.284553872 55.1915547)	Kurchatovskiy rayon
998881	396541	2	55.205386916	61.316387813	POINT (61.316387813 55.205386916)	Kurchatovskiy rayon
878495	348711	4	55.190542738	61.313016148	POINT (61.313016148 55.190542738)	Kurchatovskiy rayon
909648	361055	2	55.192974806	61.281161433	POINT (61.281161433 55.192974806)	Kurchatovskiy rayon
780399	309736	5	55.184889537	61.370718044	POINT (61.370718044 55.184889537)	Kurchatovskiy rayon
802147	318367	2	55.185920459	61.296901827	POINT (61.296901827 55.185920459)	Kurchatovskiy rayon
940355	373267	4	55.195061422	61.30276493	POINT (61.30276493 55.195061422)	Kurchatovskiy rayon
818451	324836	4	55.187119278	61.291496552	POINT (61.291496552 55.187119278)	Kurchatovskiy rayon
949483	376898	5	55.19573943	61.301316875	POINT (61.301316875 55.19573943)	Kurchatovskiy rayon
778995	309176	5	55.184817623	61.390417443	POINT (61.390417443 55.184817623)	Kurchatovskiy rayon
970915	385419	5	55.197346675	61.333289747	POINT (61.333289747 55.197346675)	Kurchatovskiy rayon
971287	385566	6	55.197397547	61.352081151	POINT (61.352081151 55.197397547)	Kurchatovskiy rayon
1020728	405245	3	55.209965676	61.274473186	POINT (61.274473186 55.209965676)	Kurchatovskiy rayon
988052	392228	5	55.200159161	61.321461513	POINT (61.321461513 55.200159161)	Kurchatovskiy rayon
934585	370973	4	55.194963286	61.308427187	POINT (61.308427187 55.194963286)	Kurchatovskiy rayon
865475	343527	1	55.189923397	61.280210821	POINT (61.280210821 55.189923397)	Kurchatovskiy rayon
906600	359840	5	55.192603532	61.331946012	POINT (61.331946012 55.192603532)	Kurchatovskiy rayon
974995	387039	6	55.197868182	61.317234335	POINT (61.317234335 55.197868182)	Kurchatovskiy rayon
966408	383624	1	55.19700717	61.350998008	POINT (61.350998008 55.19700717)	Kurchatovskiy rayon
993661	394463	4	55.202564959	61.286698846	POINT (61.286698846 55.202564959)	Kurchatovskiy rayon
886124	351725	3	55.190992606	61.296940013	POINT (61.296940013 55.190992606)	Kurchatovskiy rayon
1026004	407347	5	55.211908295	61.28086917	POINT (61.28086917 55.211908295)	Kurchatovskiy rayon
907244	360092	2	55.192646703	61.278726254	POINT (61.278726254 55.192646703)	Kurchatovskiy rayon
793251	314833	5	55.185389856	61.280533333	POINT (61.280533333 55.185389856)	Kurchatovskiy rayon
994660	394868	6	55.202982591	61.319075849	POINT (61.319075849 55.202982591)	Kurchatovskiy rayon
945069	375136	4	55.195436719	61.281629276	POINT (61.281629276 55.195436719)	Kurchatovskiy rayon
905474	359382	3	55.192540463	61.336130332	POINT (61.336130332 55.192540463)	Kurchatovskiy rayon
977970	388222	5	55.198123843	61.310702562	POINT (61.310702562 55.198123843)	Kurchatovskiy rayon
927660	368223	5	55.194074151	61.329487327	POINT (61.329487327 55.194074151)	Kurchatovskiy rayon
920857	365508	3	55.193646942	61.285065687	POINT (61.285065687 55.193646942)	Kurchatovskiy rayon
818163	324722	2	55.187096424	61.299421428	POINT (61.299421428 55.187096424)	Kurchatovskiy rayon
923152	366412	4	55.1939978	61.312294412	POINT (61.312294412 55.1939978)	Kurchatovskiy rayon
1015287	403072	5	55.2089117	61.2933614	POINT (61.2933614 55.2089117)	Kurchatovskiy rayon
1005317	399105	3	55.207807027	61.283081563	POINT (61.283081563 55.207807027)	Kurchatovskiy rayon
947536	376125	4	55.195601681	61.336683024	POINT (61.336683024 55.195601681)	Kurchatovskiy rayon
1054978	418804	1	55.234962357	61.30764795	POINT (61.30764795 55.234962357)	Kurchatovskiy rayon
879936	349279	3	55.190625821	61.282767535	POINT (61.282767535 55.190625821)	Kurchatovskiy rayon
972245	385947	8	55.197466697	61.330720704	POINT (61.330720704 55.197466697)	Kurchatovskiy rayon
889631	353118	2	55.191257476	61.3165642	POINT (61.3165642 55.191257476)	Kurchatovskiy rayon
1025457	407123	2	55.211732471	61.278293616	POINT (61.278293616 55.211732471)	Kurchatovskiy rayon
884849	351222	5	55.190887207	61.376200454	POINT (61.376200454 55.190887207)	Kurchatovskiy rayon
926503	367755	3	55.194033866	61.305057649	POINT (61.305057649 55.194033866)	Kurchatovskiy rayon
788186	312818	1	55.18521798	61.290324147	POINT (61.290324147 55.18521798)	Kurchatovskiy rayon
996407	395559	5	55.204007777	61.290740213	POINT (61.290740213 55.204007777)	Kurchatovskiy rayon
1019624	404802	3	55.209708401	61.280528508	POINT (61.280528508 55.209708401)	Kurchatovskiy rayon
887358	352223	1	55.191004447	61.36447438	POINT (61.36447438 55.191004447)	Kurchatovskiy rayon
837953	332597	2	55.188278539	61.287507419	POINT (61.287507419 55.188278539)	Kurchatovskiy rayon
903892	358758	3	55.19251988	61.288947918	POINT (61.288947918 55.19251988)	Kurchatovskiy rayon
800608	317760	4	55.185835294	61.380825599	POINT (61.380825599 55.185835294)	Kurchatovskiy rayon
872685	346394	4	55.190261765	61.278107636	POINT (61.278107636 55.190261765)	Kurchatovskiy rayon
977251	387938	3	55.198108631	61.30511084	POINT (61.30511084 55.198108631)	Kurchatovskiy rayon
949626	376953	4	55.195742994	61.342644587	POINT (61.342644587 55.195742994)	Kurchatovskiy rayon
819544	325272	5	55.187152439	61.3918166	POINT (61.3918166 55.187152439)	Kurchatovskiy rayon
944890	375068	3	55.195436719	61.281629276	POINT (61.281629276 55.195436719)	Kurchatovskiy rayon
866637	343998	6	55.190023426	61.341182826	POINT (61.341182826 55.190023426)	Kurchatovskiy rayon
759757	301523	3	55.183677185	61.292660738	POINT (61.292660738 55.183677185)	Kurchatovskiy rayon
788101	312786	4	55.18521798	61.290324147	POINT (61.290324147 55.18521798)	Kurchatovskiy rayon
978889	388589	3	55.198171167	61.315680673	POINT (61.315680673 55.198171167)	Kurchatovskiy rayon
997313	395921	1	55.2047067	61.291688	POINT (61.291688 55.2047067)	Kurchatovskiy rayon
778998	309177	2	55.184817623	61.390417443	POINT (61.390417443 55.184817623)	Kurchatovskiy rayon
897525	356239	7	55.191835477	61.291989898	POINT (61.291989898 55.191835477)	Kurchatovskiy rayon
978453	388421	2	55.198123843	61.310702562	POINT (61.310702562 55.198123843)	Kurchatovskiy rayon
