	sp_id	sp_hh_id	age	sex	work_id
2876	955992	1123	53	F	178
2893	144479	1130	20	M	180
2912	760161	1140	32	F	183
2913	760160	1140	32	F	183
2914	760159	1140	32	F	183
2923	575713	1145	5	F	X
2924	575712	1145	5	F	X
2925	160726	1145	23	M	184
2926	160725	1145	23	M	184
2935	842456	1150	40	F	185
2936	608261	1150	9	F	48
2937	608262	1150	9	F	48
3023	509449	1186	70	M	X
3024	509451	1186	70	M	X
3025	545532	1186	0	F	X
3026	616607	1186	10	F	48
3027	410126	1186	54	M	191
3028	410125	1186	54	M	191
3029	646332	1186	14	F	47
3030	646333	1186	14	F	48
3031	138807	1186	19	M	191
3032	91108	1186	12	M	44
3033	91109	1186	12	M	48
3043	1076670	1190	67	F	X
3044	822386	1190	38	F	192
3132	518441	1222	72	M	X
3133	488158	1222	66	M	X
3134	368475	1222	48	M	197
3209	48763	1259	7	M	48
3210	907098	1259	47	F	203
3211	907099	1259	47	F	203
3212	57513	1259	8	M	48
3213	57512	1259	8	M	73
3214	57511	1259	8	M	57
3215	699644	1259	23	F	203
3216	790979	1259	35	F	204
3220	499517	1262	68	M	X
3221	1001480	1262	59	F	204
3222	5970	1262	1	M	X
3320	17956	1303	3	M	X
3321	17957	1303	3	M	X
3430	1111143	1347	71	F	X
3431	1001482	1347	59	F	215
3432	1001483	1347	59	F	215
3433	562548	1347	3	F	X
3487	91114	1366	12	M	48
3488	454987	1366	61	M	X
3489	454986	1366	61	M	X
3512	66147	1377	9	M	112
3513	40176	1377	6	M	X
3514	822391	1377	38	F	218
3515	17959	1377	3	M	X
3516	311440	1377	41	M	219
3541	769791	1387	33	F	220
3542	375818	1387	49	M	220
3543	769792	1387	33	F	220
3717	336823	1458	44	M	231
3718	1085951	1458	68	F	X
3991	416129	1568	55	M	251
3992	416130	1568	55	M	251
3993	1067320	1568	66	F	X
3994	514128	1568	71	M	X
3997	242302	1570	34	M	251
3998	242301	1570	34	M	252
3999	677626	1570	19	F	252
4000	801743	1570	36	F	252
4001	11913	1570	2	M	X
4002	583660	1570	6	F	X
4366	320322	1716	42	M	278
4367	1149533	1716	78	F	X
4368	1149534	1716	78	F	X
4369	591677	1716	7	F	48
4370	591676	1716	7	F	99
4597	253070	1804	35	M	294
4598	1076681	1805	67	F	X
4599	1076680	1805	67	F	X
4600	1076679	1805	67	F	X
4601	253071	1805	35	M	294
4626	242308	1819	34	M	295
4864	842467	1904	40	F	309
4865	522478	1904	73	M	X
4866	11919	1904	2	M	X
4989	970328	1964	55	F	320
4990	665406	1964	17	F	40
4991	177298	1964	26	M	320
4992	1118906	1964	72	F	X
5023	1118907	1979	72	F	X
5024	822408	1979	38	F	322
5025	253076	1979	35	M	322
5026	434341	1979	58	M	X
5141	494109	2030	67	M	X
5142	688920	2030	21	F	327
5143	522479	2030	73	M	X
5221	462584	2059	62	M	X
5297	119857	2086	16	M	108
5298	1039143	2086	63	F	X
5299	734509	2086	29	F	336
5300	66165	2086	9	M	48
5323	441004	2095	59	M	X
5324	441005	2095	59	M	X
5325	639160	2095	13	F	44
5326	462587	2095	62	M	X
5327	639159	2095	13	F	80
5328	274020	2095	37	M	338
5329	57533	2095	8	M	48
5428	1102914	2138	70	F	X
5429	665410	2138	17	F	1
5430	475970	2138	64	M	X
5431	416137	2138	55	M	344
5554	17967	2185	3	M	X
5990	742454	2359	30	F	381
5991	434350	2359	58	M	X
6260	514135	2469	71	M	X
6261	898082	2469	46	F	398
6262	203957	2469	30	M	398
6263	155605	2469	22	M	398
6264	119862	2469	16	M	44
6265	253085	2469	35	M	398
6266	98770	2469	13	M	48
6267	41	2469	0	M	X
6297	352756	2480	46	M	400
6298	907125	2480	47	F	400
6299	1029647	2480	62	F	X
6305	328623	2483	43	M	401
6306	328624	2483	43	M	401
6340	683470	2500	20	F	404
6341	545559	2500	0	F	X
6342	694418	2500	22	F	404
6343	545560	2500	0	F	X
6344	144501	2500	20	M	404
6478	1058149	2555	65	F	X
6479	1058148	2555	65	F	X
6480	688925	2555	21	F	411
6481	540958	2555	84	M	X
6482	940518	2555	51	F	411
6693	462595	2636	62	M	X
6694	274034	2636	37	M	423
6695	302778	2636	40	M	423
6850	360709	2704	47	M	432
6851	397376	2704	52	M	432
6865	1172276	2710	84	F	X
6866	1133032	2710	74	F	X
6895	683472	2721	20	F	435
6896	212603	2721	31	M	435
6897	888970	2721	45	F	435
6898	832839	2721	39	F	435
6899	888969	2721	45	F	435
6900	832840	2721	39	F	436
6928	24741	2733	4	M	X
6929	1175987	2733	85	F	X
7017	956025	2774	53	F	441
7018	119867	2774	16	M	48
7019	688927	2774	21	F	441
7050	970338	2790	55	F	443
7051	1163238	2790	82	F	X
7052	1039156	2790	63	F	X
7053	1163237	2790	82	F	X
7054	98778	2790	13	M	88
7055	98779	2790	13	M	9
7084	898086	2800	46	F	445
7085	509482	2800	70	M	X
7086	422242	2800	56	M	X
7087	1010405	2800	60	F	445
7088	482279	2800	65	M	X
7089	1154433	2800	80	F	X
7090	455006	2800	61	M	X
7091	631891	2800	12	F	44
7219	1048683	2844	64	F	X
7220	274038	2844	37	M	453
7302	66184	2881	9	M	48
7303	212604	2881	31	M	459
7304	898087	2881	46	F	459
7305	57546	2882	8	M	48
7306	57545	2882	8	M	48
7307	138823	2882	19	M	459
7308	242330	2882	34	M	459
7309	242331	2882	34	M	460
7336	40206	2894	6	M	X
7337	728266	2894	28	F	462
7444	336850	2936	44	M	468
7691	447928	3040	60	M	X
7692	283784	3040	38	M	481
7693	1102924	3040	70	F	X
7694	940524	3040	51	F	481
7700	624455	3044	11	F	44
7701	624456	3044	11	F	44
7725	499537	3052	68	M	X
7726	499536	3052	68	M	X
7727	132743	3052	18	M	483
7728	132744	3052	18	M	483
7729	132745	3052	18	M	483
7743	705245	3058	24	F	484
7744	769825	3058	33	F	484
7745	231855	3058	33	M	484
7774	924321	3068	49	F	487
7775	231856	3068	33	M	487
8014	166526	3167	24	M	502
8015	1058165	3167	65	F	X
8016	1058164	3167	65	F	X
8017	1076703	3167	67	F	X
8018	1029663	3167	62	F	X
8140	482284	3216	65	M	X
8141	1144354	3216	76	F	X
8142	212610	3216	31	M	509
8163	455012	3227	61	M	X
8164	441016	3227	59	M	X
8165	360723	3227	47	M	510
8166	970346	3227	55	F	510
8191	83435	3235	11	M	41
8192	212612	3235	31	M	512
8193	212611	3235	31	M	512
8385	583702	3312	6	F	X
8386	583701	3312	6	F	X
8387	403857	3312	53	M	527
8597	940530	3396	51	F	540
8598	591697	3396	7	F	48
8599	360727	3396	47	M	540
8600	1126836	3396	73	F	X
8601	535040	3396	80	M	X
8695	760205	3436	32	F	545
8696	888988	3436	45	F	545
8697	728271	3436	28	F	545
8698	66195	3436	9	M	48
8699	499543	3436	68	M	X
8700	132749	3436	18	M	546
8952	1175996	3538	85	F	X
8953	462609	3538	62	M	X
8954	653156	3538	15	F	48
8955	57555	3538	8	M	7
9223	428223	3639	57	M	X
9224	888995	3639	45	F	574
9225	274064	3639	37	M	574
9226	1001531	3639	59	F	574
9227	91149	3639	12	M	48
9228	1001532	3639	59	F	574
9296	1010415	3671	60	F	579
9297	11939	3671	2	M	X
9298	469482	3671	63	M	X
9299	812109	3671	37	F	579
9300	352778	3671	46	M	579
9453	126229	3727	17	M	48
9688	6004	3818	1	M	X
9689	575769	3818	5	F	X
9752	932663	3843	50	F	608
9753	556766	3843	2	F	X
9754	575770	3843	5	F	X
9830	183397	3875	27	M	613
9831	532247	3875	77	M	X
9832	183396	3875	27	M	613
9833	57564	3875	8	M	105
9834	428225	3875	57	M	X
9835	482301	3875	65	M	X
9866	591708	3886	7	F	48
9867	591709	3886	7	F	48
9868	75050	3886	10	M	44
9869	75049	3886	10	M	48
9884	293730	3895	39	M	617
10191	879854	4018	44	F	637
10192	320362	4018	42	M	637
10250	575772	4042	5	F	X
10251	1158722	4042	81	F	X
10672	410157	4203	54	M	666
10673	551223	4203	1	F	X
10674	832864	4203	39	F	666
10978	1010425	4321	60	F	685
10979	242364	4321	34	M	685
10980	1167902	4321	83	F	X
10981	600013	4321	8	F	71
11017	106280	4337	14	M	2
11018	769852	4337	33	F	686
11019	422261	4337	56	M	X
11210	699674	4415	23	F	697
11211	57573	4415	8	M	73
11216	132764	4418	18	M	697
11217	482306	4418	65	M	X
11218	375858	4418	49	M	697
11261	253133	4435	35	M	700
11262	716092	4437	26	F	700
11263	283810	4437	38	M	700
11264	646383	4437	14	F	44
11265	83456	4437	11	M	48
11398	150009	4489	21	M	708
11399	932672	4489	50	F	708
11541	562587	4547	3	F	X
11542	311501	4547	41	M	715
11677	212638	4603	31	M	725
11678	870721	4603	43	F	725
11679	1058187	4603	65	F	X
11777	760231	4641	32	F	730
11778	482310	4641	65	M	X
11779	482311	4641	65	M	X
11824	18005	4658	3	M	X
11825	963206	4658	54	F	732
11826	716099	4658	26	F	733
11832	61	4662	0	M	X
11833	40234	4662	6	M	X
11834	538163	4662	82	M	X
11835	32038	4662	5	M	X
11938	653165	4706	15	F	8
11939	907158	4706	47	F	740
11940	383292	4706	50	M	740
11941	832875	4707	39	F	740
11942	336879	4707	44	M	740
11943	40235	4707	6	M	X
11960	631923	4715	12	F	79
11961	509499	4715	70	M	X
11985	1019733	4724	61	F	X
11986	91164	4724	12	M	87
11987	11959	4724	2	M	X
11988	63	4724	0	M	X
12101	568952	4769	4	F	X
12102	812130	4769	37	F	749
12126	1167908	4779	83	F	X
12127	509501	4779	70	M	X
12355	801812	4870	36	F	764
12356	1187804	4870	93	F	X
12395	32045	4884	5	M	X
12396	390313	4884	51	M	766
12397	932679	4884	50	F	767
12398	992849	4884	58	F	767
12460	1001559	4909	59	F	772
12461	948514	4909	52	F	772
12462	616682	4909	10	F	79
12463	984870	4909	57	F	772
12464	851905	4909	41	F	772
12465	48819	4909	7	M	48
12483	1185206	4917	90	F	X
12484	932681	4917	50	F	773
12485	106291	4917	14	M	70
12621	57583	4968	8	M	48
12622	932683	4968	50	F	782
12623	390315	4968	51	M	782
12624	812132	4968	37	F	782
12625	253143	4968	35	M	782
12673	83464	4985	11	M	108
12674	138849	4985	19	M	786
12675	336883	4985	44	M	786
12676	302822	4985	40	M	786
12889	1102959	5067	70	F	X
12890	1102958	5067	70	F	X
12891	119900	5067	16	M	66
12975	536506	5100	81	M	X
12976	263676	5100	36	M	808
12977	963221	5100	54	F	808
12978	204007	5100	30	M	809
12979	879886	5100	44	F	809
12980	879887	5100	44	F	809
12981	791071	5100	35	F	809
13245	956056	5206	53	F	828
13246	336886	5206	44	M	828
13247	160783	5206	23	M	828
13248	434376	5206	58	M	X
13249	646393	5206	14	F	70
13431	113326	5282	15	M	79
13432	69	5282	0	M	X
13433	196309	5282	29	M	837
13434	624494	5282	11	F	70
13435	624493	5282	11	F	66
13436	360759	5282	47	M	837
13447	1019750	5287	61	F	X
13448	822482	5287	38	F	838
13449	822481	5287	38	F	838
13450	822480	5287	38	F	838
13451	822479	5287	38	F	839
13452	728295	5287	28	F	839
13453	728294	5287	28	F	839
13696	583736	5381	6	F	X
13697	390322	5381	51	M	855
13698	742507	5381	30	F	856
13725	822485	5391	38	F	857
13726	410176	5391	54	M	857
13727	11965	5391	2	M	X
13728	780492	5391	34	F	857
13729	1126862	5391	73	F	X
13730	879893	5391	44	F	857
13769	231910	5407	33	M	858
13882	311516	5452	41	M	864
13883	32059	5452	5	M	X
13884	1067414	5452	66	F	X
13903	40253	5460	6	M	X
13904	1111222	5460	71	F	X
13905	1149545	5460	78	F	X
13906	196313	5460	29	M	865
13907	422276	5460	56	M	X
14396	624502	5648	11	F	70
14397	11968	5648	2	M	X
14398	932698	5648	50	F	893
14399	769885	5648	33	F	893
14400	538168	5649	82	M	X
14401	710594	5649	25	F	893
14402	447972	5649	60	M	X
14462	231918	5672	33	M	896
14463	283843	5672	38	M	897
14464	441052	5672	59	M	X
14576	1126869	5715	73	F	X
14577	861674	5715	42	F	904
14578	514160	5715	71	M	X
14579	462642	5715	62	M	X
14615	907174	5728	47	F	906
14616	150023	5728	21	M	906
14617	368544	5728	48	M	907
14670	889035	5748	45	F	910
14671	212664	5748	31	M	910
14672	924358	5748	49	F	911
14769	898147	5781	46	F	916
14770	344871	5781	45	M	917
14771	1151573	5781	79	F	X
14835	750896	5806	31	F	920
14836	889037	5806	45	F	921
14837	204025	5806	30	M	921
14838	832891	5806	39	F	921
15022	32064	5872	5	M	X
15023	591747	5872	7	F	35
15024	40264	5872	6	M	X
15025	791090	5872	35	F	933
15026	616710	5872	10	F	35
15027	525571	5872	74	M	X
15034	1102980	5875	70	F	X
15035	1019764	5875	61	F	X
15164	542045	5921	85	M	X
15165	750900	5921	31	F	940
15166	222135	5921	32	M	940
15273	705276	5959	24	F	948
15274	283850	5959	38	M	948
15275	608354	5959	9	F	106
15276	1181398	5959	87	F	X
15455	263698	6027	36	M	960
15456	390328	6027	51	M	960
15618	1111233	6093	71	F	X
15619	1183998	6093	89	F	X
15620	812158	6093	37	F	971
15807	6029	6167	1	M	X
15808	75093	6167	10	M	8
15809	469523	6167	63	M	X
16268	624519	6348	11	F	10
16269	600050	6348	8	F	10
16270	336914	6348	44	M	1010
16390	434391	6399	58	M	X
16391	83486	6399	11	M	107
16431	231938	6414	33	M	1021
16432	948542	6414	52	F	1021
16433	907190	6414	47	F	1021
16434	907191	6414	47	F	1021
16435	177352	6414	26	M	1021
16548	1076763	6459	67	F	X
16549	302850	6459	40	M	1028
16550	1147421	6459	77	F	X
16551	842548	6459	40	F	1028
16618	842551	6489	40	F	1033
16619	842552	6489	40	F	1033
16620	842553	6489	40	F	1033
16621	106317	6489	14	M	108
16632	963244	6494	54	F	1033
16633	320408	6494	42	M	1034
16634	320407	6494	42	M	1034
16635	375893	6494	49	M	1034
16636	375894	6494	49	M	1034
16788	879916	6558	44	F	1045
16789	665475	6558	17	F	10
16793	562611	6560	3	F	X
16794	562612	6560	3	F	X
16795	189936	6560	28	M	1045
16796	665476	6560	17	F	106
16797	879917	6560	44	F	1045
16798	1188381	6560	94	F	X
16799	1188382	6560	94	F	X
16800	1172311	6560	84	F	X
16893	791107	6599	35	F	1053
16964	455069	6628	61	M	X
16965	1067432	6628	66	F	X
16966	66254	6628	9	M	84
17192	32074	6720	5	M	X
17306	98852	6762	13	M	108
17307	98853	6762	13	M	2
17308	705285	6762	24	F	1077
17309	616724	6762	10	F	10
17657	336922	6898	44	M	1099
17658	98856	6898	13	M	24
17659	132801	6898	18	M	1099
17763	1058239	6934	65	F	X
17764	1147423	6934	77	F	X
17765	231947	6934	33	M	1104
17766	1076772	6934	67	F	X
17899	98861	6990	13	M	35
17900	716128	6990	26	F	1112
17901	710612	6990	25	F	1112
17930	631953	7000	12	F	71
17931	91200	7000	12	M	106
17932	940586	7000	51	F	1115
17936	812179	7002	37	F	1115
17937	583761	7002	6	F	X
17938	683525	7002	20	F	1116
17939	616728	7002	10	F	107
17954	956083	7010	53	F	1117
17955	760284	7010	32	F	1117
17956	48860	7010	7	M	35
17957	360792	7010	47	M	1118
18049	504505	7042	69	M	X
18050	1048788	7042	64	F	X
18051	1048787	7042	64	F	X
18069	293792	7052	39	M	1123
18070	96	7052	0	M	X
18072	1167933	7054	83	F	X
18131	462659	7078	62	M	X
18209	801864	7111	36	F	1134
18210	1172318	7111	84	F	X
18211	1172319	7111	84	F	X
18212	1172320	7111	84	F	X
18458	18046	7204	3	M	X
18459	18047	7204	3	M	X
18460	1076782	7204	67	F	X
18461	1076783	7204	67	F	X
18462	932729	7204	50	F	1148
18540	183432	7239	27	M	1154
18541	171777	7239	25	M	1154
18542	1048790	7239	64	F	X
18543	1048791	7239	64	F	X
18544	1048792	7239	64	F	X
18545	171778	7239	25	M	1154
18572	907205	7254	47	F	1155
18573	907206	7254	47	F	1155
18574	253195	7254	35	M	1155
18575	253196	7254	35	M	1155
18576	253197	7254	35	M	1155
18577	132809	7254	18	M	1156
18644	1126885	7282	73	F	X
18645	138876	7282	19	M	1161
18646	1188805	7282	95	F	X
18647	608388	7282	9	F	71
18648	138875	7282	19	M	1162
18649	138874	7282	19	M	1162
18650	328710	7282	43	M	1162
18652	1067441	7284	66	F	X
18653	1067442	7284	66	F	X
18654	1067443	7284	66	F	X
18655	1010483	7284	60	F	1162
18656	410200	7284	54	M	1163
18722	242437	7314	34	M	1166
18723	242438	7314	34	M	1166
18724	242439	7314	34	M	1166
18725	375915	7314	49	M	1167
18745	977534	7322	56	F	1168
18746	977535	7322	56	F	1169
18747	1133108	7322	74	F	X
18748	1133107	7322	74	F	X
18782	769923	7340	33	F	1170
18783	769922	7340	33	F	1170
18784	75110	7340	10	M	55
18785	1154474	7340	80	F	X
18786	1154472	7340	80	F	X
18787	870771	7340	43	F	1170
18788	160801	7340	23	M	1170
19138	32087	7480	5	M	X
19139	522508	7480	73	M	X
19140	932735	7480	50	F	1193
19225	91206	7510	12	M	48
19226	992892	7510	58	F	1199
19227	263726	7510	36	M	1199
19228	780536	7510	34	F	1199
19358	6040	7557	1	M	X
19359	57651	7557	8	M	10
19360	98867	7557	13	M	35
19361	963257	7557	54	F	1206
19391	665497	7568	17	F	71
19392	397453	7568	52	M	1208
19406	728325	7575	28	F	1210
19407	750926	7575	31	F	1210
19408	1019813	7575	61	F	X
19491	842568	7616	40	F	1216
19492	646429	7616	14	F	73
19496	898186	7618	46	F	1216
19497	898185	7618	46	F	1216
19498	898184	7618	46	F	1216
19629	591776	7665	7	F	35
19630	551255	7665	1	F	X
19631	222163	7665	32	M	1224
19632	1039248	7665	63	F	X
19633	1151585	7665	79	F	X
19634	940600	7665	51	F	1225
19692	283885	7690	38	M	1228
19693	536519	7690	81	M	X
19694	113357	7690	15	M	107
19695	132818	7690	18	M	1228
19713	410203	7699	54	M	1230
19714	688979	7699	21	F	1230
19715	1039249	7699	63	F	X
19761	963258	7717	54	F	1233
19762	963259	7717	54	F	1233
19763	769929	7717	33	F	1233
19831	302882	7743	40	M	1239
19832	1048799	7743	64	F	X
19833	119927	7743	16	M	35
19938	462674	7781	62	M	X
19957	932747	7790	50	F	1246
19958	924397	7790	49	F	1246
19959	683534	7790	20	F	1247
19960	791134	7790	35	F	1247
19961	1010493	7790	60	F	1247
19998	832927	7804	39	F	1249
19999	533187	7804	78	M	X
20000	1126892	7804	73	F	X
20001	1126891	7804	73	F	X
20018	488240	7813	66	M	X
20019	212705	7813	31	M	1250
20020	1103013	7813	70	F	X
20021	1001614	7813	59	F	1250
20022	583776	7813	6	F	X
20126	932749	7852	50	F	1257
20127	932750	7852	50	F	1257
20178	956099	7871	53	F	1259
20265	1076790	7906	67	F	X
20266	390373	7906	51	M	1266
20267	608399	7906	9	F	106
20268	608400	7906	9	F	71
20269	608401	7906	9	F	55
20270	1167938	7906	83	F	X
20271	1167939	7906	83	F	X
20439	138878	7977	19	M	1276
20440	1067454	7977	66	F	X
20566	434415	8027	58	M	X
20567	556823	8027	2	F	X
20568	360810	8027	47	M	1285
20600	940612	8040	51	F	1287
20601	1111257	8040	71	F	X
20850	1076796	8140	67	F	X
20851	32100	8140	5	M	X
20852	119932	8140	16	M	8
20853	801884	8140	36	F	1305
20854	1163303	8140	82	F	X
20855	75123	8140	10	M	107
20943	608405	8173	9	F	26
21074	177372	8221	26	M	1318
21075	1058264	8221	65	F	X
21078	1086083	8223	68	F	X
21079	1111261	8223	71	F	X
21533	760308	8403	32	F	1346
21534	1094435	8403	69	F	X
21535	728340	8403	28	F	1346
21666	18065	8449	3	M	X
21667	375937	8449	49	M	1352
21668	375936	8449	49	M	1352
21716	434426	8472	58	M	X
21717	1039268	8472	63	F	X
21955	551270	8562	1	F	X
21956	1076809	8562	67	F	X
21957	166585	8562	24	M	1370
21958	631976	8562	12	F	10
22151	608415	8635	9	F	55
22152	242468	8635	34	M	1382
22153	780555	8635	34	F	1382
22559	1029776	8793	62	F	X
22560	1029775	8793	62	F	X
22561	1029774	8793	62	F	X
22562	1029773	8793	62	F	X
22563	231998	8793	33	M	1406
22570	403924	8798	53	M	1406
22571	403923	8798	53	M	1406
22572	970432	8798	55	F	1406
22627	1010520	8821	60	F	1410
22628	48899	8821	7	M	107
22629	48898	8821	7	M	107
22630	469567	8821	63	M	X
22631	293830	8821	39	M	1410
22632	832942	8821	39	F	1410
22670	522521	8837	73	M	X
22671	750960	8837	31	F	1413
22672	812222	8837	37	F	1413
22673	812223	8837	37	F	1413
22747	705308	8868	24	F	1418
22748	533188	8868	78	M	X
22942	171801	8940	25	M	1429
22943	970436	8940	55	F	1429
23037	535070	8977	80	M	X
23038	1176039	8977	85	F	X
23039	336963	8977	44	M	1436
23095	390388	9001	51	M	1441
23096	963284	9001	54	F	1441
23097	390387	9001	51	M	1441
23098	455114	9001	61	M	X
23099	283916	9001	38	M	1442
23100	842595	9001	40	F	1442
23101	646452	9001	14	F	106
23231	562642	9053	3	F	X
23232	562641	9053	3	F	X
23370	66310	9107	9	M	66
23371	57686	9107	8	M	79
23372	915919	9107	48	F	1459
23385	932775	9114	50	F	1460
23386	665517	9114	17	F	70
23387	138895	9114	19	M	1460
23674	1010529	9221	60	F	1477
23675	1167951	9221	83	F	X
23676	870811	9221	43	F	1477
23695	545641	9230	0	F	X
23696	232007	9230	33	M	1479
23759	416211	9254	55	M	1483
23760	177389	9254	26	M	1483
23761	889101	9254	45	F	1483
23762	721957	9254	27	F	1483
23931	441116	9319	59	M	X
23932	525592	9319	74	M	X
23933	494192	9319	67	M	X
24131	992929	9399	58	F	1508
24132	556837	9399	2	F	X
24133	963296	9399	54	F	1508
24134	665523	9399	17	F	107
24135	963294	9399	54	F	1508
24161	1103038	9409	70	F	X
24162	1126920	9409	73	F	X
24333	183470	9474	27	M	1521
24334	1029797	9474	62	F	X
24335	18073	9474	3	M	X
24336	212737	9474	31	M	1521
24386	851998	9497	41	F	1524
24387	494194	9497	67	M	X
24388	1094460	9497	69	F	X
24389	1172333	9497	84	F	X
24390	898217	9497	46	F	1524
24391	1144405	9497	76	F	X
24392	977572	9497	56	F	1524
24413	293847	9506	39	M	1525
24414	518511	9506	72	M	X
24415	639278	9506	13	F	24
24480	631995	9531	12	F	84
24481	12019	9531	2	M	X
24482	428301	9531	57	M	X
24483	600124	9531	8	F	108
24484	1119033	9531	72	F	X
24610	253251	9582	35	M	1535
24611	469582	9582	63	M	X
24612	222213	9582	32	M	1536
24636	801907	9593	36	F	1537
24637	126312	9593	17	M	66
24638	716159	9593	26	F	1537
24639	66322	9593	9	M	70
24788	328758	9651	43	M	1545
24789	494197	9651	67	M	X
24873	488265	9681	66	M	X
24874	242485	9681	34	M	1550
24990	1058294	9728	65	F	X
24991	716163	9728	26	F	1555
24992	879970	9728	44	F	1555
25039	1058296	9747	65	F	X
25040	311582	9747	41	M	1558
25041	907248	9747	47	F	1558
25042	119954	9747	16	M	108
25043	274209	9747	37	M	1558
25062	1094469	9755	69	F	X
25063	204089	9755	30	M	1560
25064	119955	9755	16	M	35
25077	624567	9761	11	F	24
25078	126313	9761	17	M	66
25091	1103042	9766	70	F	X
25092	569015	9766	4	F	X
25093	538183	9766	82	M	X
25103	653234	9770	15	F	10
25104	302924	9770	40	M	1562
25105	1094470	9770	69	F	X
25106	222216	9770	32	M	1562
25107	360837	9770	47	M	1562
25108	898222	9770	46	F	1562
25382	665532	9876	17	F	71
25383	898225	9876	46	F	1579
25384	83561	9876	11	M	108
25968	48917	10102	7	M	55
25969	253261	10102	35	M	1612
26129	410229	10162	54	M	1623
26130	212750	10162	31	M	1623
26131	263775	10162	36	M	1623
26132	263776	10162	36	M	1623
26290	311590	10228	41	M	1632
26291	822589	10228	38	F	1632
26292	397499	10228	52	M	1632
26293	482379	10228	65	M	X
26294	1001650	10228	59	F	1632
26391	898232	10266	46	F	1637
26392	166608	10266	24	M	1637
26393	1067501	10266	66	F	X
26394	1067502	10266	66	F	X
26395	190001	10266	28	M	1637
26396	575884	10266	5	F	X
26397	1067503	10266	66	F	X
26428	534034	10280	79	M	X
26429	591819	10280	7	F	50
26430	455132	10280	61	M	X
26431	155693	10280	22	M	1641
26432	528356	10280	75	M	X
26530	283951	10318	38	M	1647
26531	113398	10318	15	M	84
26532	150089	10318	21	M	1647
26533	1111300	10318	71	F	X
26534	734655	10318	29	F	1647
26660	542053	10370	85	M	X
26661	293857	10370	39	M	1653
26751	434451	10404	58	M	X
26752	801919	10404	36	F	1657
26753	977584	10404	56	F	1658
26849	196375	10445	29	M	1663
26850	469594	10445	63	M	X
26851	403955	10445	53	M	1663
26852	659426	10445	16	F	35
26853	734660	10445	29	F	1663
26915	336991	10469	44	M	1666
26916	705324	10469	24	F	1667
26917	32144	10469	5	M	X
26918	639298	10469	13	F	108
26981	428321	10497	57	M	X
26982	428322	10497	57	M	X
26983	832977	10497	39	F	1669
26984	832976	10497	39	F	1669
26985	832975	10497	39	F	1669
27080	842623	10539	40	F	1675
27081	608461	10539	9	F	79
27082	608460	10539	9	F	96
27083	608459	10539	9	F	79
27084	177408	10539	26	M	1675
27085	494212	10539	67	M	X
27207	632008	10588	12	F	48
27208	119965	10588	16	M	66
27209	119966	10588	16	M	48
27279	1010555	10612	60	F	1687
27280	132863	10612	18	M	1687
27281	441132	10612	59	M	X
27282	504543	10612	69	M	X
27283	263783	10612	36	M	1687
27284	448053	10612	60	M	X
27305	403959	10622	53	M	1689
27306	98910	10622	13	M	73
27307	126329	10622	17	M	18
27308	311600	10622	41	M	1689
27484	616792	10694	10	F	71
27485	1058314	10694	65	F	X
27486	1048861	10694	64	F	X
27487	963317	10694	54	F	1700
